episode 68	loss 8.100146	 episode reward -21.0	 number of down act 0.5206301575393848	 game_len 1333	
episode 69	loss 9.159273	 episode reward -21.0	 number of down act 0.5066666666666667	 game_len 1350	
episode 70	loss 13.495909	 episode reward -20.0	 number of down act 0.5253968253968254	 game_len 1890	
episode 71	loss 10.492374	 episode reward -19.0	 number of down act 0.500987491770902	 game_len 1519	
episode 72	loss 9.387343	 episode reward -21.0	 number of down act 0.5226302305721605	 game_len 1171	
episode 73	loss 4.542727	 episode reward -21.0	 number of down act 0.5399820305480683	 game_len 1113	
episode 74	loss 8.084907	 episode reward -20.0	 number of down act 0.5068912710566615	 game_len 1306	
episode 75	loss 11.158248	 episode reward -19.0	 number of down act 0.5298879202988792	 game_len 1606	
episode 76	loss 10.206102	 episode reward -20.0	 number of down act 0.5364689843217451	 game_len 1467	
episode 77	loss 10.300976	 episode reward -21.0	 number of down act 0.5271164021164021	 game_len 1512	
episode 78	loss 8.199796	 episode reward -21.0	 number of down act 0.5340599455040872	 game_len 1101	
episode 79	loss 9.09389	 episode reward -21.0	 number of down act 0.5154545454545455	 game_len 1100	
episode 80	loss 9.767666	 episode reward -21.0	 number of down act 0.5325925925925926	 game_len 1350	
episode 81	loss 8.398005	 episode reward -21.0	 number of down act 0.5525	 game_len 1200	
episode 82	loss 15.421261	 episode reward -19.0	 number of down act 0.5513748191027497	 game_len 2073	
episode 83	loss 9.801455	 episode reward -21.0	 number of down act 0.5493197278911565	 game_len 1176	
episode 84	loss 1.6883717	 episode reward -21.0	 number of down act 0.5614296351451973	 game_len 1343	
episode 85	loss 8.876286	 episode reward -20.0	 number of down act 0.5275407292474786	 game_len 1289	
episode 86	loss 9.507525	 episode reward -21.0	 number of down act 0.5018559762435041	 game_len 1347	
episode 87	loss 9.433775	 episode reward -21.0	 number of down act 0.5499541704857929	 game_len 1091	
episode 88	loss 14.93751	 episode reward -21.0	 number of down act 0.5157515751575158	 game_len 1111	
episode 89	loss 16.23401	 episode reward -21.0	 number of down act 0.5595344673231871	 game_len 1117	
episode 90	loss 14.502371	 episode reward -21.0	 number of down act 0.6040843214756259	 game_len 1518	
episode 91	loss -8.451967	 episode reward -21.0	 number of down act 0.6092761770906535	 game_len 1423	
episode 92	loss 4.678131	 episode reward -20.0	 number of down act 0.5664621676891616	 game_len 1467	
episode 93	loss 5.0950413	 episode reward -21.0	 number of down act 0.5556506849315068	 game_len 1168	
episode 94	loss 5.367717	 episode reward -19.0	 number of down act 0.549889135254989	 game_len 1353	
episode 95	loss 14.756224	 episode reward -21.0	 number of down act 0.5299194476409667	 game_len 1738	
episode 96	loss 10.889881	 episode reward -21.0	 number of down act 0.5278810408921933	 game_len 1345	
episode 97	loss -0.61369514	 episode reward -20.0	 number of down act 0.5655430711610487	 game_len 1335	
episode 98	loss 8.564242	 episode reward -21.0	 number of down act 0.5480607082630692	 game_len 1186	
episode 99	loss 12.203534	 episode reward -21.0	 number of down act 0.528	 game_len 1250	
